CustomerID,R,F,M,Cluster
12346.0,325,1,74215,potential loyal customer
12347.0,129,7,2458,lost customer
12348.0,74,4,2341,lost customer
12349.0,18,1,631,lost customer
12350.0,309,1,197,new customer
12352.0,71,8,536,lost customer
12353.0,203,1,20,new customer
12354.0,231,1,530,new customer
12355.0,213,1,240,new customer
12356.0,244,3,1591,new customer
12357.0,32,1,2708,lost customer
12358.0,150,2,248,lost customer
12359.0,188,4,1622,new customer
12360.0,112,3,1165,lost customer
12361.0,286,1,91,new customer
12362.0,72,10,2229,lost customer
12363.0,109,2,408,lost customer
12364.0,77,4,1506,lost customer
12365.0,290,2,174,new customer
12367.0,3,1,173,lost customer
12370.0,273,4,2353,new customer
12371.0,44,2,591,lost customer
12372.0,71,3,794,lost customer
12373.0,310,1,197,new customer
12374.0,24,1,342,lost customer
12375.0,97,2,178,lost customer
12377.0,354,2,944,new customer
12378.0,129,1,2529,lost customer
12379.0,81,2,407,lost customer
12380.0,77,4,1127,lost customer
12381.0,119,5,808,lost customer
12383.0,184,5,1532,new customer
12384.0,121,2,126,lost customer
12386.0,366,2,354,new customer
12388.0,75,6,1462,lost customer
12390.0,79,1,353,lost customer
12391.0,21,1,300,lost customer
12393.0,71,4,816,lost customer
12394.0,216,2,819,new customer
12395.0,111,12,2118,lost customer
12397.0,134,2,1263,lost customer
12398.0,45,1,1394,lost customer
12399.0,118,4,1178,lost customer
12401.0,302,1,11,new customer
12402.0,322,1,94,new customer
12403.0,49,1,96,lost customer
12405.0,148,1,857,lost customer
12406.0,183,2,1818,new customer
12407.0,156,5,1416,lost customer
12408.0,98,5,1409,lost customer
12409.0,78,3,5551,lost customer
12410.0,308,2,211,new customer
12412.0,74,3,829,lost customer
12413.0,235,3,286,new customer
12414.0,216,3,300,new customer
12415.0,98,21,77374,potential loyal customer
12417.0,126,9,1552,lost customer
12418.0,112,1,407,lost customer
12420.0,63,1,345,lost customer
12421.0,114,4,484,lost customer
12422.0,95,3,370,lost customer
12423.0,100,8,1339,lost customer
12424.0,162,2,740,lost customer
12425.0,77,1,496,lost customer
12426.0,193,1,258,new customer
12427.0,371,3,533,new customer
12428.0,119,9,3536,lost customer
12429.0,172,4,1557,lost customer
12430.0,42,1,117,lost customer
12431.0,118,15,2906,loyal customer
12432.0,169,5,1801,lost customer
12433.0,90,7,11071,loyal customer
12434.0,83,2,394,lost customer
12435.0,79,2,2055,lost customer
12436.0,99,1,211,lost customer
12437.0,77,18,2922,loyal customer
12438.0,139,2,1180,lost customer
12441.0,366,1,121,new customer
12442.0,2,1,182,lost customer
12444.0,85,5,1153,lost customer
12445.0,21,1,62,lost customer
12446.0,56,1,351,lost customer
12447.0,242,1,190,new customer
12448.0,43,1,243,lost customer
12449.0,91,4,1553,lost customer
12450.0,155,2,128,lost customer
12451.0,217,5,6575,new customer
12452.0,16,2,185,lost customer
12453.0,133,1,473,lost customer
12454.0,55,1,1006,lost customer
12455.0,72,6,2089,lost customer
12456.0,130,3,1633,lost customer
12457.0,81,7,843,lost customer
12458.0,70,2,506,lost customer
12461.0,93,2,287,lost customer
12462.0,302,2,536,new customer
12463.0,174,4,776,new customer
12464.0,105,8,112,lost customer
12465.0,168,2,479,lost customer
12468.0,187,2,366,new customer
12471.0,77,30,8212,loyal customer
12472.0,138,7,4148,lost customer
12473.0,114,5,2439,lost customer
12474.0,98,18,4847,loyal customer
12475.0,53,1,535,lost customer
12476.0,84,11,2408,lost customer
12477.0,100,6,3653,lost customer
12478.0,3,1,236,lost customer
12479.0,10,1,385,lost customer
12480.0,142,4,1707,lost customer
12481.0,179,10,3304,lost customer
12483.0,98,8,1110,lost customer
12484.0,100,6,2191,lost customer
12488.0,75,3,529,lost customer
12489.0,335,1,105,new customer
12490.0,92,10,3064,lost customer
12491.0,37,1,260,lost customer
12492.0,104,2,192,lost customer
12493.0,165,2,207,lost customer
12494.0,160,7,707,lost customer
12497.0,80,1,1236,lost customer
12498.0,20,3,159,lost customer
12500.0,105,11,2678,lost customer
12501.0,335,1,1783,new customer
12502.0,95,5,820,lost customer
12504.0,29,2,90,lost customer
12506.0,232,1,23,new customer
12507.0,155,3,894,lost customer
12508.0,25,2,272,lost customer
12509.0,283,1,55,new customer
12510.0,142,2,353,lost customer
12512.0,65,2,99,lost customer
12513.0,112,1,462,lost customer
12514.0,266,1,440,new customer
12515.0,352,1,131,new customer
12516.0,77,2,875,lost customer
12517.0,73,5,1371,lost customer
12518.0,76,5,1318,lost customer
12519.0,63,1,183,lost customer
12520.0,78,5,1439,lost customer
12521.0,142,1,309,lost customer
12522.0,38,2,194,lost customer
12523.0,78,11,865,lost customer
12524.0,161,8,3699,lost customer
12526.0,93,3,632,lost customer
12527.0,81,3,234,lost customer
12528.0,113,6,756,lost customer
12530.0,123,4,913,lost customer
12531.0,14,1,45,lost customer
12532.0,29,1,153,lost customer
12534.0,130,1,651,lost customer
12535.0,91,2,219,lost customer
12536.0,42,3,2803,lost customer
12538.0,28,1,191,lost customer
12539.0,261,4,2067,new customer
12540.0,91,17,6685,loyal customer
12541.0,172,3,680,new customer
12544.0,35,1,136,lost customer
12545.0,74,2,523,lost customer
12546.0,77,2,633,lost customer
12547.0,196,2,134,new customer
12548.0,165,1,49,lost customer
12550.0,78,1,569,lost customer
12551.0,357,1,100,new customer
12552.0,38,2,88,lost customer
12553.0,109,10,1965,lost customer
12556.0,150,2,358,lost customer
12557.0,157,5,4384,lost customer
12558.0,7,1,196,lost customer
12559.0,310,2,283,new customer
12560.0,111,3,1110,lost customer
12561.0,302,1,177,new customer
12562.0,81,7,1779,lost customer
12564.0,260,1,133,new customer
12565.0,288,1,80,new customer
12566.0,85,1,265,lost customer
12567.0,95,10,4305,lost customer
12569.0,91,32,1801,loyal customer
12571.0,120,2,523,lost customer
12572.0,8,2,452,lost customer
12573.0,226,1,84,new customer
12574.0,315,1,61,new customer
12576.0,95,5,967,lost customer
12577.0,358,3,472,new customer
12578.0,20,2,1196,lost customer
12579.0,77,1,285,lost customer
