CustomerID,R,F,M,Country,Cluster
12346.0,325,1,74215,United Kingdom,potential loyal customer
12347.0,1,7,2458,Iceland,new customer
12348.0,74,4,2341,Finland,new customer
12349.0,18,1,631,Italy,new customer
12350.0,309,1,197,Norway,loyal customer
12352.0,35,8,536,Norway,new customer
12353.0,203,1,20,Bahrain,loyal customer
12354.0,231,1,530,Spain,loyal customer
12355.0,213,1,240,Bahrain,loyal customer
12356.0,22,3,1591,Portugal,new customer
12357.0,32,1,2708,Switzerland,new customer
12358.0,1,2,248,Austria,new customer
12359.0,57,4,1622,Cyprus,new customer
12360.0,51,3,1165,Austria,new customer
12361.0,286,1,91,Belgium,loyal customer
12362.0,2,10,2229,Belgium,new customer
12363.0,109,2,408,Unspecified,new customer
12364.0,7,4,1506,Belgium,new customer
12365.0,290,2,174,Cyprus,loyal customer
12367.0,3,1,173,Denmark,new customer
12370.0,50,4,2353,Cyprus,new customer
12371.0,44,2,591,Switzerland,new customer
12372.0,71,3,794,Denmark,new customer
12373.0,310,1,197,Austria,loyal customer
12374.0,24,1,342,Austria,new customer
12375.0,10,2,178,Finland,new customer
12377.0,314,2,944,Switzerland,loyal customer
12378.0,129,1,2529,Switzerland,new customer
12379.0,81,2,407,Belgium,new customer
12380.0,21,4,1127,Belgium,new customer
12381.0,4,5,808,Norway,new customer
12383.0,184,5,1532,Belgium,loyal customer
12384.0,28,2,126,Switzerland,new customer
12386.0,337,2,354,Australia,loyal customer
12388.0,15,6,1462,Australia,new customer
12390.0,79,1,353,Belgium,new customer
12391.0,21,1,300,Cyprus,new customer
12393.0,71,4,816,Australia,new customer
12394.0,63,2,819,Belgium,new customer
12395.0,18,12,2118,Belgium,new customer
12397.0,35,2,1263,Belgium,new customer
12398.0,45,1,1394,Switzerland,new customer
12399.0,118,4,1178,Belgium,new customer
12401.0,302,1,11,Belgium,loyal customer
12402.0,322,1,94,Belgium,loyal customer
12403.0,49,1,96,Denmark,new customer
12405.0,148,1,857,Finland,loyal customer
12406.0,21,2,1818,Denmark,new customer
12407.0,49,5,1416,Belgium,new customer
12408.0,32,5,1409,Belgium,new customer
12409.0,78,3,5551,Switzerland,new customer
12410.0,308,2,211,Switzerland,loyal customer
12412.0,74,3,829,Denmark,new customer
12413.0,66,3,286,France,new customer
12414.0,216,3,300,Austria,loyal customer
12415.0,23,21,77374,Australia,potential loyal customer
12417.0,2,9,1552,Belgium,new customer
12418.0,112,1,407,Switzerland,new customer
12420.0,63,1,345,Cyprus,new customer
12421.0,15,4,484,Spain,new customer
12422.0,95,3,370,Australia,new customer
12423.0,0,8,1339,Belgium,new customer
12424.0,162,2,740,Australia,loyal customer
12425.0,77,1,496,Portugal,new customer
12426.0,194,1,258,Germany,loyal customer
12427.0,21,3,533,Germany,new customer
12428.0,25,9,3536,Finland,new customer
12429.0,8,4,1557,Denmark,new customer
12430.0,42,1,117,Norway,new customer
12431.0,35,15,2906,Australia,lost customer
12432.0,42,5,1801,Norway,new customer
12433.0,0,7,11071,Norway,lost customer
12434.0,84,2,394,Australia,new customer
12435.0,79,2,2055,Denmark,new customer
12436.0,99,1,211,Norway,new customer
12437.0,1,18,2922,France,lost customer
12438.0,13,2,1180,Norway,new customer
12441.0,366,1,121,France,loyal customer
